# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
10361	attach:019f1a19-d2bf-73d3-9042-0bb07390d90f
10362	attach:019f1a19-d2c6-7643-9d37-aa4d7681ba1f
10367	attach:019f1a19-d2fa-75f1-89e2-04cd65876dc6
10369	attach:019f1a19-d304-7256-a39b-d8d2a060aad1
10370	attach:019f1a19-d30b-73f8-b609-b823c8960444
10372	attach:019f1a19-d37c-77ba-b50b-58394aff4d04
10376	attach:019f1a19-d39d-76c4-becc-39ba99f9da9d
10377	attach:019f1a19-d3ac-764e-b3e5-c6da3a28f74a
10378	attach:019f1a19-d3b7-71fa-97af-15962d815b8d
10380	attach:019f1a19-d3c5-75db-9615-04c487e86fb1
10381	attach:019f1a19-d43d-705e-b8b7-6f53cf6efc46
10382	attach:019f1a19-d465-7310-8208-a61be6767795
10397	attach:019f1a19-d551-70f3-9054-278cfa08c822
10400	attach:019f1a19-d577-74dc-a3ac-5ee37eb798ce
10403	attach:019f1a19-d602-7657-8e95-da4c8ead42c6
10411	attach:019f1a19-d6b1-7490-880f-31ca066e9420
10415	attach:019f1a19-d6f8-7653-bcb8-268c55edd308
10417	attach:019f1a19-d6fe-76aa-b359-87dd03c766e4
10418	attach:019f1a19-d705-7367-abc6-c6630f182cbb
10419	attach:019f1a19-d727-72ff-9e50-d43ae8ebd205
10424	attach:019f1a19-d7dd-75b7-af3b-1b33acdd457e
10428	attach:019f1a19-d7fe-730d-8279-52e6853c6ed0
10432	attach:019f1a19-d8f8-748b-b857-44906875b163
10433	attach:019f1a19-d900-70e6-80b6-6ad11f5a72d2
10435	attach:019f1a19-d915-708e-b39d-515dcac2cbf7
10440	attach:019f1a19-d941-718d-b6f4-d1e720ec1ede
10444	attach:019f1a19-da07-7000-9b3e-1fa32832745d
10449	attach:019f1a19-da36-77d6-b411-7a075e8ddb50
10453	attach:019f1a19-dae3-7619-b132-62cfd5bd2472
10454	attach:019f1a19-db09-76f4-bab4-8058e10b5cc5
10456	attach:019f1a19-db17-766e-9d81-40e8d008177f
10463	attach:019f1a19-dbcc-733b-8452-fbb20e581232
10464	attach:019f1a19-dbd3-7124-9c99-9952ab8f48fc
10469	attach:019f1a19-dc63-767c-8437-0dbd594910cf
10475	attach:019f1a19-de2d-70a7-8936-dcd629b55ccd
10481	attach:019f1a19-e054-77b1-96d7-a361e29975cf
10483	attach:019f1a19-e081-76a3-a4ac-d893b5b3deec
10484	attach:019f1a19-e089-7241-9ea9-65d1c5df12a3
10487	attach:019f1a19-e0b0-706b-8611-ae7358c691da
10490	attach:019f1a19-e0e3-7194-a968-47935ce9ec5b
10491	attach:019f1a19-e143-70fd-a78f-dea678c5e11e
10501	attach:019f1a19-e1d6-7338-86cf-cdfb7634c1ac
10506	attach:019f1a19-e262-744e-a6dc-b758b8952057
10508	attach:019f1a19-e276-712e-878a-e566f29d8d2f
10510	attach:019f1a19-e2d0-7465-ac0c-c1777df82e48
10513	attach:019f1a19-e36a-71e7-9864-0c95c3a2fc78
10519	attach:019f1a19-e3f6-76da-9f19-4efccc2ceeb4
10520	attach:019f1a19-e3fc-7446-bf1e-b317eaa061ef
10521	attach:019f1a19-e457-771b-83e8-32d10d5c75b2
10524	attach:019f1a19-e46c-711a-98e4-a6b8f67e045b
10533	attach:019f1a19-e50c-778b-8c76-93ddcf88d1f2
10534	create	019f1a00-543d-7671-bd7c-4c438b119213
10535	attach:019f1a19-e511-719d-bd2f-657b9b598c45
10538	attach:019f1a19-e53a-7320-bdcf-92a27dad28bd
10539	attach:019f1a19-e540-7045-932d-778b34bde790
10543	attach:019f1a19-e5d5-709a-9f2f-78594177f84f
10546	attach:019f1a19-e61b-75b4-acf0-3596c6e55bbe
10547	attach:019f1a19-e620-72a9-8130-7e5e045830fd
10549	attach:019f1a19-e64a-772b-b705-6891347993ec
10550	attach:019f1a19-e66e-72af-90c1-564a6f88cf8e
10551	attach:019f1a19-e71a-7412-9e9d-af9fdee64410
10562	attach:019f1a19-e7fa-73fa-b6f4-ef7b2c9ef161
10564	attach:019f1a19-e804-763d-9b93-d5e8f70eb24f
10569	attach:019f1a19-e818-764b-9786-27a220ebe5ba
10571	attach:019f1a19-e8eb-7689-82bb-5edf5121af74
10576	attach:019f1a19-e90b-7745-b184-7731fc428a6c
10585	attach:019f1a19-e985-7117-858e-a989b6bc9bd8
10587	attach:019f1a19-e9ab-73e4-ad6e-184dcccae45a
